dedupe	devocalize	split 1	split 2	split 3	split4	IsWord
אונטראנטו	אונטראנטו	אונטראנטו				
אונטר-אפשא	אונטר-אפשא	אונטר-אפשא				
אונטרדאם	אונטרדאם	אונטרדאם				
אונטר-ווישוואָ	אונטר-ווישוואָ	אונטר-ווישוואָ				
אונטר-ווישווה	אונטר-ווישווה	אונטר-ווישווה				
אונטר-רינה	אונטר-רינה	אונטר-רינה				
אונטר רינע	אונטר רינע	אונטר	רינע			
אונטשעשט	אונטשעשט	אונטשעשט				
אוניאוו	אוניאוו	אוניאוו				
אוניאווע	אוניאווע	אוניאווע				
אוניאן	אוניאן	אוניאן				
אוניווע	אוניווע	אוניווע				
אוניון	אוניון	אוניון				
אונייעוו	אונייעוו	אונייעוו				
אונייצ'ה	אונייצ'ה	אונייצ'ה				
אונין	אונין	אונין				
אוניעווא	אוניעווא	אוניעווא				
אוניעיאוו	אוניעיאוו	אוניעיאוו				
אונסדארף	אונסדארף	אונסדארף				
אונסדאָרף	אונסדאָרף	אונסדאָרף				
אונסלעבן	אונסלעבן	אונסלעבן				
אונסלעבען	אונסלעבען	אונסלעבען				
אונע	אונע	אונע				
אונצ'שט	אונצ'שט	אונצ'שט				
אונצדארף	אונצדארף	אונצדארף				
אונקיטעשט 	אונקיטעשט 	אונקיטעשט				
אונקשטיל	אונקשטיל	אונקשטיל				
אונרושטאט	אונרושטאט	אונרושטאט				
אונרושטאַט	אונרושטאַט	אונרושטאַט				
אונשדארף	אונשדארף	אונשדארף				
אוסאָלאָסע 	אוסאָלאָסע 	אוסאָלאָסע				
אוסד	אוסד	אוסד				
אוסובה וישקה	אוסובה וישקה	אוסובה	וישקה			
אוסוויע	אוסוויע	אוסוויע				
אוסטי	אוסטי	אוסטי				
אוסטילא	אוסטילא	אוסטילא				
אוסטילה	אוסטילה	אוסטילה				
אוסטילוג	אוסטילוג	אוסטילוג				
אוסטילע	אוסטילע	אוסטילע				
אוסטיצקא	אוסטיצקא	אוסטיצקא				
אוסטיצקי	אוסטיצקי	אוסטיצקי				
אוסטירא	אוסטירא	אוסטירא				
אוסטערליינקע	אוסטערליינקע	אוסטערליינקע				
אוסטצא	אוסטצא	אוסטצא				
אוסטצענאוו	אוסטצענאוו	אוסטצענאוו				
אוסטצענאָװ	אוסטצענאָװ	אוסטצענאָװ				
אוסטרא	אוסטרא	אוסטרא				
אוסטראה	אוסטראה	אוסטראה				
אוסטראוו	אוסטראוו	אוסטראוו				
אוסטראווע	אוסטראווע	אוסטראווע				
אוסטראווצא	אוסטראווצא	אוסטראווצא				
אוסטראווצי	אוסטראווצי	אוסטראווצי				
אוסטראף	אוסטראף	אוסטראף				
אוסטראפאלי	אוסטראפאלי	אוסטראפאלי				
אוסטרה	אוסטרה	אוסטרה				
אוסטרהא	אוסטרהא	אוסטרהא				
אוסטרובייץ	אוסטרובייץ	אוסטרובייץ				
אוסטרוג	אוסטרוג	אוסטרוג				
אוסטרוז'ץ	אוסטרוז'ץ	אוסטרוז'ץ				
אוסטריג	אוסטריג	אוסטריג				
אוסטריה	אוסטריה	אוסטריה				
אוסטריך	אוסטריך	אוסטריך				
אוסטרין	אוסטרין	אוסטרין				
אוסטרינה	אוסטרינה	אוסטרינה				
אוסטריק	אוסטריק	אוסטריק				
אוסטרעווע	אוסטרעווע	אוסטרעווע				
אוסטשװילק	אוסטשװילק	אוסטשװילק				
אוסיאק	אוסיאק	אוסיאק				
אוסיינציני	אוסיינציני	אוסיינציני				
אוסיק	אוסיק	אוסיק				
אוסלו	אוסלו	אוסלו				
אוסלוב ביאלי	אוסלוב ביאלי	אוסלוב	ביאלי			
אוסליע	אוסליע	אוסליע				
אוספאס	אוספאס	אוספאס				
אוסצ'יקי דולנה	אוסצ'יקי דולנה	אוסצ'יקי	דולנה			
אוסציא	אוסציא	אוסציא				
אופא	אופא	אופא				
אופֿאַ	אופֿאַ	אופֿאַ				
אופאד	אופאד	אופאד				
אופאני	אופאני	אופאני				
אופּאָני	אופּאָני	אופּאָני				
אופאר	אופאר	אופאר				
אופּאָר	אופּאָר	אופּאָר				
אופוטשנה	אופוטשנה	אופוטשנה				
אופּוטשנה	אופּוטשנה	אופּוטשנה				
אופולהלובלסקי	אופולהלובלסקי	אופולהלובלסקי				
אופולי	אופולי	אופולי				
אופטובייץ	אופטובייץ	אופטובייץ				
אופטי	אופטי	אופטי				
אופטיה	אופטיה	אופטיה				
אופיבאך	אופיבאך	אופיבאך				
אופינע	אופינע	אופינע				
אופּינע	אופּינע	אופּינע				
אופּינע 	אופּינע 	אופּינע				
אופן	אופן	אופן				YES
אופנהיים	אופנהיים	אופנהיים				
אופנהם	אופנהם	אופנהם				
אופסה	אופסה	אופסה				
אופערטי	אופערטי	אופערטי				
אופראן	אופראן	אופראן				
אוקונייב	אוקונייב	אוקונייב				
אוקינגען	אוקינגען	אוקינגען				
אוקלאנד	אוקלאנד	אוקלאנד				
אוקליש	אוקליש	אוקליש				
אוקמניץ	אוקמניץ	אוקמניץ				
אוקנה-שוגאטאג	אוקנה-שוגאטאג	אוקנה-שוגאטאג				
אוקראאינע	אוקראאינע	אוקראאינע				
אוקראינע	אוקראינע	אוקראינע				
אוקראַינע	אוקראַינע	אוקראַינע				
אוקראַיִנע	אוקראַיִנע	אוקראַיִנע				
אוקריטויא	אוקריטויא	אוקריטויא				
אוקרײַנע 	אוקרײַנע 	אוקרײַנע				
אור	אור	אור				
אורא	אורא	אורא				
אוראדיה	אוראדיה	אוראדיה				
אוראטא	אוראטא	אוראטא				
אוראַלי	אוראַלי	אוראַלי				
אוראניש	אוראניש	אוראניש				
אוראָנקע 	אוראָנקע 	אוראָנקע				
אורבא	אורבא	אורבא				
אורבע	אורבע	אורבע				
אורדי	אורדי	אורדי				
אורוב	אורוב	אורוב				
אורולו	אורולו	אורולו				
אורוסדזשוק	אורוסדזשוק	אורוסדזשוק				
אורזיסטשוב	אורזיסטשוב	אורזיסטשוב				
אוריוו	אוריוו	אוריוו				
אוריול	אוריול	אוריול				
אוריװ	אוריװ	אוריװ				
אוריװע	אוריװע	אוריװע				
אוריך	אוריך	אוריך				
אורין	אורין	אורין				
אוריעוו	אוריעוו	אוריעוו				
אוריעװ	אוריעװ	אוריעװ				
אוריִעװ 	אוריִעװ 	אוריִעװ				
אוריצק 	אוריצק 	אוריצק				
אורלא	אורלא	אורלא				
אורלה	אורלה	אורלה				
אורלובה	אורלובה	אורלובה				
אורלי	אורלי	אורלי				
אורלי'	אורלי'	אורלי'				
אורליא	אורליא	אורליא				
אורליינס	אורליינס	אורליינס				
אורליך	אורליך	אורליך				
אורלע	אורלע	אורלע				
אורמיה	אורמיה	אורמיה				
אורמין	אורמין	אורמין				
אורנאנאר	אורנאנאר	אורנאנאר				
אורסיג	אורסיג	אורסיג				
אורעטשא	אורעטשא	אורעטשא				
אורעטשע	אורעטשע	אורעטשע				
אורעטשע 	אורעטשע 	אורעטשע				
אורעצא	אורעצא	אורעצא				
אורפה	אורפה	אורפה				
אורשא	אורשא	אורשא				
אורשאװס	אורשאװס	אורשאװס				
אורשה	אורשה	אורשה				
אורשוויא	אורשוויא	אורשוויא				
אורשיווא	אורשיווא	אורשיווא				
אורשיווע	אורשיווע	אורשיווע				
אורשנאװיץ	אורשנאװיץ	אורשנאװיץ				
אורשע	אורשע	אורשע				
אורשעווע	אורשעווע	אורשעווע				
אורשפרינגען	אורשפרינגען	אורשפרינגען				
אורשפּרינגען	אורשפּרינגען	אורשפּרינגען				
אושאַטין	אושאַטין	אושאַטין				
אושאטש	אושאטש	אושאטש				
אושאַטש 	אושאַטש 	אושאַטש				
אושאמיר	אושאמיר	אושאמיר				
אושאָמיר	אושאָמיר	אושאָמיר				
אושאץ	אושאץ	אושאץ				
אושאַץ	אושאַץ	אושאַץ				
אושבעצין	אושבעצין	אושבעצין				
אושווענצים	אושווענצים	אושווענצים				
אושװער	אושװער	אושװער				
אושטלריש	אושטלריש	אושטלריש				
אושטרייך	אושטרייך	אושטרייך				
אושטריך	אושטריך	אושטריך				
אושטשי	אושטשי	אושטשי				
אושיאקוב	אושיאקוב	אושיאקוב				
אושייצק	אושייצק	אושייצק				
אושיק	אושיק	אושיק				
אושמיאני	אושמיאני	אושמיאני				
אושע	אושע	אושע				
אושפאל	אושפאל	אושפאל				
אושפּאָל 	אושפּאָל 	אושפּאָל				
אושפורק	אושפורק	אושפורק				
אושפיצין	אושפיצין	אושפיצין				
אושפיצען	אושפיצען	אושפיצען				
אושפצין	אושפצין	אושפצין				
אושפציען	אושפציען	אושפציען				
אושצייה זיילונה	אושצייה זיילונה	אושצייה	זיילונה			
אושצייצ'קו	אושצייצ'קו	אושצייצ'קו				
אושקה	אושקה	אושקה				
אַװאַנטע 	אַװאַנטע 	אַװאַנטע				
אָװאָרי	אָװאָרי	אָװאָרי				
אַװאַרעדאָק	אַװאַרעדאָק	אַװאַרעדאָק				
אָװאָשאויװאַראָש	אָװאָשאויװאַראָש	אָװאָשאויװאַראָש				
אָװאָש און געגענט	אָװאָש און געגענט	אָװאָש	און	געגענט		
אַװדאָיעװקע	אַװדאָיעװקע	אַװדאָיעװקע				
אָװטשע 	אָװטשע 	אָװטשע				
אַװראָטענע	אַװראָטענע	אַװראָטענע				
אָװרוטש	אָװרוטש	אָװרוטש				
אָװריטש 	אָװריטש 	אָװריטש				
אױאַזד	אױאַזד	אױאַזד				
אױב	אױב	אױב				
אױבאזא	אױבאזא	אױבאזא				
אױגוסטאַװע	אױגוסטאַװע	אױגוסטאַװע				
אױגסבורג	אױגסבורג	אױגסבורג				
אױדיער	אױדיער	אױדיער				
אױװאר	אױװאר	אױװאר				
אױװאַר	אױװאַר	אױװאַר				
אױװאַראָש	אױװאַראָש	אױװאַראָש				
אױװאָראָש	אױװאָראָש	אױװאָראָש				
אױװאַשאַר	אױװאַשאַר	אױװאַשאַר				
אױװן 	אױװן 	אױװן				
אױװעראָש 	אױװעראָש 	אױװעראָש				
אױזדע	אױזדע	אױזדע				
אױטאן	אױטאן	אױטאן				
אױלאק	אױלאק	אױלאק				
אױלאָק	אױלאָק	אױלאָק				
אױסאָלאָק	אױסאָלאָק	אױסאָלאָק				
אױסבאַך	אױסבאַך	אױסבאַך				
אױסטערליץ	אױסטערליץ	אױסטערליץ				
אױסע	אױסע	אױסע				
אױעזד	אױעזד	אױעזד				
אױפּאָזואַ	אױפּאָזואַ	אױפּאָזואַ				
אױפאיטא	אױפאיטא	אױפאיטא				
אױפֿאָלאָ	אױפֿאָלאָ	אױפֿאָלאָ				
אױפאָלו	אױפאָלו	אױפאָלו				
אױפהױזן	אױפהױזן	אױפהױזן				
אױפהערטױ	אױפהערטױ	אױפהערטױ				
אױפעלד	אױפעלד	אױפעלד				
אױץ	אױץ	אױץ				
אױקאניזשע	אױקאניזשע	אױקאניזשע				
אױראָדנאָ	אױראָדנאָ	אױראָדנאָ				
אױש	אױש	אױש				
אזאר	אזאר	אזאר				
אָזאָר	אָזאָר	אָזאָר				
אזאריטש	אזאריטש	אזאריטש				
אַזאַריטש 	אַזאַריטש 	אַזאַריטש				
אַזאַריניץ 	אַזאַריניץ 	אַזאַריניץ				
אזארעוו	אזארעוו	אזארעוו				
אָזאַרעװ	אָזאַרעװ	אָזאַרעװ				
אזארעניץ	אזארעניץ	אזארעניץ				
אזארקאוו	אזארקאוו	אזארקאוו				
אָזאָרקאָװ	אָזאָרקאָװ	אָזאָרקאָװ				
אזארקוב	אזארקוב	אזארקוב				
אזד	אזד	אזד				
אָזד	אָזד	אָזד				
אַזדיטיטש 	אַזדיטיטש 	אַזדיטיטש				
אזולה	אזולה	אזולה				
אזולה די טרוויזיה	אזולה די טרוויזיה	אזולה	די	טרוויזיה		
אזװיר	אזװיר	אזװיר				
אַזיאָר	אַזיאָר	אַזיאָר				
אזידאוו	אזידאוו	אזידאוו				
אָזידאָװ	אָזידאָװ	אָזידאָװ				
אזיעל	אזיעל	אזיעל				
אזיעראן	אזיעראן	אזיעראן				
אָזיעראַן	אָזיעראַן	אָזיעראַן				
אזיפאלי	אזיפאלי	אזיפאלי				
אזיפאליא	אזיפאליא	אזיפאליא				
אזיפאליע	אזיפאליע	אזיפאליע				
אַזיפּאָליע	אַזיפּאָליע	אַזיפּאָליע				
