א[רעדאַקטירן | רעדאקטירן קוואַלטעקסט],,
,,
בעלי־בטחון,באַלע־ביטאָכן,
בעל־בכי,באַל־בעכי,
בעלי־בכי,באַלע־בעכי,
בעל־ברית,באַל־בריס,
בעלי־ברית,באַלע־בריס,
בעל־בשר,באַל־באָסער,
בעל־גאווה,באַל־גײַווע,
בעלי־גאוות,באַלע־גײַוועס,
בעל־גוף,באַל־גוף,
בעלי־גופֿים,באַלע־גופֿים,
בעל־דבר,באַל־דאָווער,
בעלי־דבר,באַלע־דאָווער,
בעל־דברן,באַל־דאַברען,
בעלי־דברנים,באַלע־דאַבראָנים,
בעל־דין,באַל־דין,
בעלי־דינים,באַלע־דינים,
בעל־דיקדוק,באַל־דיקדעק,
בעלי־דיקדוק,באַלע־דיקדעק,
בעל־דעה,באַל־דעיע,
בעלי־דעות,באַלע־דייעס,
בעל־דרשן,באַל־דאַרשן,
בעלי־דרשנים,באַלע־דאַרשאָנים,
בעל־הבית (אָדער אַמאָל בעל־בית),באַל־עבאָס (אָדער אַמאָל באַל־באָס),"""אַ סך גלײכער, אַז אַ געמיינער בּאַלעבּאָס ווערט רייך, איידער אַ גביר ווערט נאָך רייכער!.."""
בעלי־הבתים (אָדער אַמאָל בעלי־ביתים),באַלע־באַטים (אָדער אַמאָל באַל־באַטים),"פֿון דעם בוך ""אלטער"" פֿון יעקב דינעזאָן, דף 68."
,,"""... זי קען איצט בּאַקומען אַ חתן פון פיינעם גראַד, האָבּן מחותּנים בּאַלעבּאַטים, מיט נדן,..."
,,"פֿון דעם בוך ""אלטער"" פֿון יעקב דינעזאָן, דף 66."
בעל־הוצאה,באַל־העצאָע,
בעלי־הוצאות,באַלע־העצאָעס (אָדער אַמאָל באַל־העצאָעס),
בעל־הלוואה,באַל־האַלוואָע,
בעלי־הלוואות,באַלע־האַלוואָעס,
בעל־המצאה,באַל־האַמצאָע,
בעלי־המצאות,באַלע־האַמצאָעס,
בעל־העזה,באַל־האָזע,
בעלי־העזה,באַלע־האָזע,
בעל־השגחה,באַל־האַזשגאָכע,
בעלי־השגחה,באַלע־האַזשגאָכע,
בעל־השפעה,באַל־האַשפּאָע,
בעלי־השפעה,באַלע־האַשפּאָע,
בעל־זכרון,באַל־זיקאָרן,
בעלי־זכרון,באַלע־זיקאָרן,
בעל־חוב,באַל־כויוו,
בעלי־חובות,באַלע־כויוועס (אָדער אַמאָל באַל־כויוועס),
בעל־חי,באַל־כײַ,
בעלי־חיים,באַלע־כײַם,
בעל־חיונה,באַל־כייונע,
בעלי־חיונה,באַלע־כייונע,
בעל־חייב,באַל־כאַיעוו,
בעל־חלומות,באַל־כאַלוימעס,
בעלי־חלומות,באַלע־כאַלוימעס,
בעל־חשבון,באַל־כעזשבם,
בעלי־חשבון,באַלע־כעזשבם,
בעל־חשדים,באַל־כשאָדים,
בעלי־חשדים,באַלע־כשאָדים,
בעל־טובה,באַל־טויווע,
בעלי־טובות,באַלע־טויוועס (אָדער אַמאָל באַל־טויוועס),
בעל־יובל,באַל־יויוול,
בעלי־יובל,באַלע־יויוול,
בעל־יועץ,באַל־יויעץ,
בעלי־יועצים,באַלע־יויעצים,
בעל־יושר,באַל־יוישער,
בעלי־יושר,באַלע־יוישער,
בעל־ייחוס,באַל־ייִכעס,
בעלי־ייחוס,באַלע־ייִכעס,
בעל־כיס,באַל־קיס,
בעלי־כיס,באַלע־קיס,
בעל־כישרון,באַל־קישרען,
בעלי־כישרונות,באַלע־קישרוינעס,
בעל־כעסן,באַל־קײַסן,
בעל־כרחו,באַל־קאָרכע,
בעלי־כרחו,באַלע־קאָרכע,
בעל־כרחך,באַל־קאָרכעכאָ (אָדער אַמאָל באַל־קאָרכאָך),
בעלי־כרחך,באַלע־קאָרכעכאָ (אָדער אַמאָל באַלע־קאָרכאָך),
בעל־לשון,באַל־לאָשן,
בעלי־לשונות,באַלע־לעשוינעס,
בעל־מגזם,באַל־מעגאַזעם,
בעל־מגיה,באַל־מאַגיִע,
בעל־מדקדק,באַל־מעדאַקדעק,
בעלי־מדקדקים,באַלע־מעדאַקדעקים (אָדער אַמאָל באַל־מעדאַקדעקים),
בעל־מוח,באַל־מויעך,
בעלי־מוחות,באַלע־מויכעס,
בעל־מום,באַל־מום,
בעלי־מומים,באַלע־מומים,
בעל־מופת,באַל־מויפֿעס,
בעלי־מופתים,באַלע־מאָפֿסים,
בעל־מחשבות,באַל־מאַכשאָוועס,
בעלי־מחשבות,באַלע־מאַכשאָוועס,
בעלי־מים,באַלע־מאַיִם,
בעל־מיצווה,באַל־מיצווע,
בעלי־מיצוות,באַלע־מיצוועס,
בעל־מלאכה,באַל־מעלאָכע,"""...ער פלעגט אביסל אָפּווארטן און נאָכדעם אָפּגעבן זיי פאר באלמעלאָכעס."""
בעלי־מלאכות,באַל־מעלאָכעס,"פֿון דעם בוך ""זעלמעניאנער"" פֿון מוישע קולבּאק, דף 5."
בעל־מנגן,באַל־מענאַגן,
בעלי־מנגנים,באַלע־מענאַגנים,
בעל־מפולת,באַל־מאַפּוילעס,
בעלי־מפולת,באַלע־מאַפּוילעס,
בעל־מפונק,באַל־מעפֿונעק,
בעל־משכון,באַל־מאַשקן,
בעלי־משכנות,באַלע־מאַשקאָנעס,
בעל־נס,באַל־נעס,
בעלי־נסים,באַלע־ניסים,
בעל־נצחון,באַל־ניצאָכן,
בעלי־נצחונות,באַלע־ניצכוינעס,
בעל־סוד,באַל־סאָד,
בעלי־סודות,באַלע־סוידעס,
בעל־עבירה,באַל־אַוויירע,
בעלי־עבירות,באַלע־אַוויירעס,
בעל־עגלה,באַל־אַגאָלע‏[2],
בעל־עגלות,"(אָדער אַמאָל באַל־עגאָלע לויט ""אַרומנעמיק ייִדיש־ענגליש ווערטערבוך"" פֿון חיים באָכנער און שלום ביינפֿעלד)",
,באַל־אַגאָלעס‏[2],
,"(אָדער אַמאָל באַל־עגאָלעס לויט ""אַרומנעמיק ייִדיש־ענגליש ווערטערבוך"" פֿון חיים באָכנער און שלום ביינפֿעלד)",
בעל־עוולה,באַל־אַוולע,
בעלי־עוולות,באַלע־אַוולעס,
בעל־עצה,באַל־אייצע,
בעלי־עצות,באַלע־אייצעס,
בעל־פה,באַל־פּע,
בעל־פועל,באַל־פּויעל,
בעלי־פועלים,באַלע־פּויאַלים,
בעל־פחדן,באַל־פּאַכדן,
בעל־פקדון,באַל־פּיקאָדן,
בעלי־פקדונות,באַלע־פּיקדוינעס,
בעל־פרנסה,באַל־פּאַרנאָסע,
בעלי־פרנסה,באַלע־פּאַרנאָסע,
בעל־צדקה,באַל־צדאָקע,
בעלי־צדקה,באַלע־צדאָקע,
בעל־קורא,באַל־קוירע,
בעלי־קורא,באַלע־קוירע,
בעל־קריאה,באַל־קריִע,
בעלי־קריאה,באַלע־קריִע,
בעל־שם,באַל־שעם,
בעלי־שם (אָדער אַמאָל בעלי־שמות),באַלע־שעם (אָדער אַמאָל באַלע־שיימעס),
בעל־שם־טוב,באַל־שעם־טאָוו,
(בעש״ט),(בעשט),
בעל־שימחה,באַל־סימכע,
בעלי־שימחות,באַלע־סימכעס,
בעל־שכל,באַל־סייכל,
בעלי־שכל,באַלע־סייכל,
בעל־תאווה,באַל־טײַווע,
בעלי־תאוות,באַלע־טײַוועס,
בעל־תוקע,באַל־טעקייע,
בעלי־תוקע,באַלע־טעקייע,
בעל־תכלית,באַל־טאַכלעס,
בעלי־תכלית,באַלע־טאַכלעס,
בעל־תפילה,באַל־טפֿילע,
בעלי־תפילות,באַלע־טפֿילעס,
בעל־תקיעה,באַל־טקיִע,
בעלי־תקיעה,באַלע־טקיִע,
בעל־תשובה,באַל־טשוּווע,
בעלי־תשובה,באַלע־טשוּווע,
בעלן,באַלן,
בעלנים,באַלאָנים,
בעלנות,באַלאָנעס,
בעצם,בעעצעם,
בערך,בעערעך,
בעת,בייס,
בעת־מעשה,בייס־מײַסע,
בפה־מלא,בעפּע־מאָלע,
בפועל,בעפּויעל,
בפועל־ממש,בעפּויעל־מאַמעש,
בפירוש,בעפֿיירעש,
בפרהסיא,ביפֿרעסיע‏[2],
,"(אָדער אַמאָל בעפֿערעסיע לויט ""אַרומנעמיק ייִדיש־ענגליש ווערטערבוך"" פֿון חיים באָכנער און שלום ביינפֿעלד)",
,(אָדער אַמאָל בעפֿרעסיע),
בפרוטרוט,ביפֿרויטרעט,
בפרט,ביפֿראַט,
בפרטיות,ביפֿראָטיִעס,
בפשטות,בעפּאַשטעס,
בצוואה,בעצאַוואָע,
בצורת,בעצורעס,
בציבור,בעציבער,
בצימצום,בעצימצעם,
בקבלה,בעקאַבאָלע,
בקוו־הבריאות,בעקאַוו־האַבריִעס,
בקול־קולות,בעקאָל־קוילעס,
בקולי־קולות,בעקאָלע־קוילעס,
בקול־רם,בעקאָל־ראָם,
בקי,באָקע,
בקיאים,בעקיִיִם,
בקיאות,בעקיִעס (אָדער אַמאָל בקיִעס),
בקיצור,בעקיצער,
בקיצור־הדבר,בעקיצער־האַדאָווער,
בקרוב,בעקאָרעוו,
בקשה,באַקאָשע,
בקשות,באַקאָשעס,
בר,באַר,
בר־אורין,באַר־אוריען,
בר־דעת,"באַר־דאַאַס (אָדער אַמאָל באַר־דאַס לויט ""אַרומנעמיק ייִדיש־ענגליש ווערטערבוך"" פֿון חיים באָכנער און שלום ביינפֿעלד)",
בר־מזל,באַר־מאַזל,
בר־מינן,באַר־מענען,
בר־מיצווה (אָדער אַמאָל בר־מצווה),באַר־מיצווע,
בר־מיצוות,באַר־מיצוועס,
בר־מיצווה־בחור,באַר־מיצווע־באָכער,
בר־מיצווה־בחורים,באַר־מיצווע־באָכערים,
בר־מיצר,באַר־מייצער,
בר־מיצרא,באַר־מעצרע,
בר־נש,באַר־נאַש,
בר־סמכא,באַר־סאַמכע,
בר־פלוגתא,באַר־פּלוקטע,
בראש,בעראָש (אָדער אַמאָל בראָש),
בראש־גלוי,בעראָש־גאָלע,
בראשית,בריישעס,
ברבים,בעראַבים,
ברוא,"ברו (אָדער אפשר ""ברע""?)",
ברואים,ברויִם,
ברוגז,"ברויגעז (לויט ""אַרומנעמיק ייִדיש־ענגליש ווערטערבוך"" פֿון חיים באָכנער און שלום ביינפֿעלד)",
ברוחניות,בערוכניִעס,
ברוך,באָרעך,
ברוך דיין אמת,באָרעך דאַיען עמעס,
ברוך־הבא,באָרעכאַבע (אָדער אַמאָל באָרכאַבע) (אַלס אַ זאַכוואָרט),
ברוכים־הבאים,באָרעך־האַבאָ (אַלס אַן אינטעריעקציע),
,ברוכים־האַבאָים,
ברוך־הוא,באָרוך־הו (אָדער אַ מאָל באָרכו),
ברוכים־היושבים,ברוכים־האַיוישווים,
ברוך־הנימצא,באָרעך־האַנימצע,
ברוך־השם,באָרכאַשעם,
ברוך שפטרני,באָרעך שעפּאָטראַני,
ברומו־של־עולם,בערומע־שעלוילעם,
ברחבות,בעראַכוועס,
ברחל בתך הקטנה,בעראָכל ביטכאָ האַקטאַנאָ,
ברי־לי,באָרעלי,
בריאה,בריִע,
בריאות,בריִעס,
בריאת־העולם,בריִעס־האָוילעם,
בריה,בעריע,
בריות,בעריעס,
בריה־ניפלאה,בעריע־ניפֿלאָע,
בריות־ניפלאות,בעריעס־ניפֿלאָעס,
ברייתא,ברײַסע,
ברייתות,ברײַסעס,
ברירה,בריירע,
ברירות,בריירעס,
בריש־גלי,בערייש־געלע,
ברית,בריס,
ברית־חדשה,בריס־כאַדאָשע,
ברית־מילה,בריס־מילע,
ברכה,בראָכע,
ברכות,בראָכעס,
ברכה־לבטלה,בראָכע־לעוואַטאָלע,
ברמז,בערעמעז,
ברמיזה,בירמיזע,
ברצון,בעראָצן,
ברשות,בירשוס,
בשוגג,בעשויגעג,
בשום־אופן,בעשום־אויפֿן,
בשותפות,בעשוטפֿעס,
בשכנות,בישכיינעס,
בשלווה,בעשאַלווע,
בשלום,בעשאָלעם,
בשלום־ושלווה,בעשאָלעם־וועשאַלווע,
בשלח,בעשאַלאַך,"""מאָנטיק, פּארשע בעשאלאך, שנאס... (פארמעקט)."""
,,"פֿון דעם בוך ""זעלמעניאנער"" פֿון מוישע קולבּאק, דף 7."
בשלמות,בישליימעס,
בשם־אומרו,בעשעם־אָמרע,
בשן־ועין,בעשיין־וועײַען,
בשעת,בעשאַס,
בשעת־הדחק,בעשאַסאַטכאַק,
בשעת־מעשה,בעשאַס־מײַסע,
בשעתו,בעשײַטע (אָדער אַמאָל בעשאַטע),
בשעתם,בעשאַטעם,
בשפע,בעשעפֿע,
בשתיקה,בישטיקע,
בשורה,פּסורע,
בשורות,פּסורעס,
בשורה־טובה,פּסורע־טויווע,
בשורות־טובות,פּסורעס־טויוועס,
בשורה־רעה,פּסורע־ראָע,
בשורות־רעות,פּסורעס־ראָעס,
בשמים,פּסאָמים,
בשר,באָסער,
בשר־ודגים,באָסער־וועדאָגים,
בשר־ודם,באָסער־וועדאָם,
בשר כשר,באָסער קאָשער,
בת,באַס,
בת־היענה (אָדער אַמאָל בת־יענה),באַס־אַיײַנע (אָדער אַמאָל באַס־יײַנע),
בת־יחידה,באַס־יעכידע,
בת־יחידות,באַס־יעכידעס,
