Base,Romanized,Yiddish,Gloss,Definition
,,אויטאָסטראַדע וו ־ס,,автострада
,,אויטאָקראַטיע [тье] וו,,автократия
,,אויטאָר מ ..אָ^רן (וו ..אָ^רשע),,автор
,,אויטאָריטאַריש א,,авторитарный
,,אויטאָריטע^ט 1. וו ־ן,,авторитет
,,אויטאָריטע^ט 2. מ ־ן,,авторитет (человек)
,,אוי^טאָרשאַפט וו,,авторство
,,אויטענטיש א,,аутентичный
,,אויטע^נטישקייט וו,,аутентичность
,,אויך אדוו.,,"1. тоже, также"
,,ווי אויך,,как и; а также
,,"זי לערנט זיך ייִדיש, ווי אויך העברעיִש
",,"она учит как идиш, так и иврит"
,,אויך מיר אַ..!,,тоже мне
,,אויך מיר אַן אויפטו!,,тоже мне подвиг!
,,אויך מיר אַ זאַך!,,подумаешь!
,,אויך מיר אַ קונץ!,,велика премудрость!
,,"אויכעט אדוו. זען אויך
",,אויס ¹ 1. א פּרעד.	законченный
,,און אויס!,,"кончено!, конец!, баста!,"
,,אויס ¹ 2. אדוו.,,"1. больше не, уже не"
,,זי איז אויס קינד,,"она уже не ребёнок,"
,,ווערן אויס סוד [סאָד],,перестать быть
,,"2.:
",,זיין* אומפּ. אויס נאָמ.:
,,עס איז אויס יום־טוב [יאָנטעוו],,праздник
,,עס איז אויס שידוך [שידעך],,больше речи
,,"זיין* אומפּ. אויס מיט:
",,ס'איז אויס מיט אים	для него всё
,,אויס ² פּרעפּ.,,1. из (указывает
,,אויס גלאָז,,из стекла
,,אויס הע^פלעכקייט,,из вежливости
,,אויס פריינדשאַפט,,по дружбе
,,אויס ³ קאָנוו.,,придаёт глаголу
,,אוי^ס׀טרינק׀ען,,выпить
,,אוי^ס׀שיס׀ן,,выстрелить
,,אוי^ס׀קוועטש׀ן,,выжать
,,אוי^ס׀קלייב׀ן,,выбрать
,,אוי^ס׀פּלאָנטער׀ן,,распутать
,,אוי^ס׀אָטעמ׀ען (אוי^סגעאָטעמט),,выдыхать
,,אוי^ס׀איב׀ן (אוי^סגעאיבט),,оказывать
,,"אוי^ס׀איידל׀ען (אוי^סגעאיידלט)
",,1. облагораживать
,,אוי^ס׀אייל׀ן (אוי^סגעאיילט),,смазывать
,,אוי^סאַרבעטונג וו ־ען,,"производство,"
,,"אוי^ס׀אַרבעט׀ן (אוי^סגעאַרבעט)
",,"1. вырабатывать; производить,"
,,אוי^ס׀באָד׀ן (אוי^סגעבאָדן),,(вы)купать
,,אויסבאָדן זיך,,"1) (вы)купаться,"
,,"אוי^ס׀באַהאַלט׀ן (אוי^ס(גע)באַהאַלטן)
",,"1. прятать (долго, большое"
,,l אויסבאַהאַלטן זיך,,"1) прятаться (долго,"
,,"אוי^ס׀באָלבע׀ן (אוי^סגעבאָלבעט)
",,выбалтывать
,,אוי^ס׀באַק׀ן (אוי^סגעבאַקן),,(с)печь;
,,אוי^ס׀באָרג׀ן (אוי^סגעבאָרגט) דאט.,,"ссужать,"
,,l אויסבאָרגן (ביי),,"занимать, брать взаймы"
,,אוי^ס׀בוי׀ען (אוי^סגעבויט),,построить;
,,"אויס׀בטל׀ען [אוי^סבאטלען] (אויסגעבטלט [אוי^סגעבאטלט]):
",,אויסבטלען אַלע וויסטע חלומות [כאלוימעס]
,,אויף,,"осыпать кого-л. бранью,"
,,אויסבייג מ ־ן,,"выгиб, изгиб, сгиб"
,,אוי^ס׀בייג׀ן (אוי^סגעבויגן),,"выгибать,"
,,אויסבייט מ ־ן,,обмен
,,אוי^ס׀בייטל׀ען (אוי^סגעבייטלט),,обирать
,,אויסבייטלען זיך,,"издерживаться,"
,,"אוי^ס׀בייט׀ן (אוי^סגעביטן) (אויף)
",,"1. менять на...; обменивать,"
,,l אויסבייטן זיך (מיט),,меняться с кем-л.
,,"אוי^ס׀בילד׀ן (אוי^סגעבילדט)
",,"1. образовывать, формировать"
,,אוי^ס׀בינד׀ן (אוי^סגעבונדן),,1. вязать
,,"2.:
",,אויסבינדן דעם שניפּס	вывязывать/
,,אוי^סבינדער מ ־ס,,галстук
,,"אוי^ס׀בלאָז׀ן (אוי^סגעבלאָזן, אוי^סגעבלאָזט)
",,выдувать
,,אוי^ס׀בלוי׀ען (אוי^סגעבלויט),,(вы)синить
,,"אוי^ס׀בליאַקיר׀ן (אוי^סבליאַקירט)
",,обесцвечивать
,,אוי^ס׀בלייב׀ן (איז אוי^סגעבליבן),,оставаться
,,אויסבליק מ ־ן,,вид; перспектива
,,"אוי^ס׀בעטל׀ען (אוי^סגעבעטלט)
",,выклянчивать
,,"אוי^ס׀בעט׀ן ¹ (אוי^סגעבעט)
",,1. приготовлять постель
,,l אויסבעטן זיך,,устраивать себе постель
,,אויס׀בעט׀ן ² (אוי^סגעבעטן),,"выпрашивать,"
,,"אויסבעטן ביי דאט. מחילה [מעכילע]
",,вымолить у кого-л. прощение
,,"אוי^ס׀בענק׀ען זיך (אוי^סגעבענקט זיך) (נאָך)
",,"истосковаться, изголодаться по..."
,,אוי^סבעסערונג וו ־ן,,"поправка,"
,,"אוי^ס׀בעסער׀ן (אוי^סגעבעסערט)
",,"поправлять, исправлять"
,,אוי^ס׀בראָט׀ן (אוי^סגעבראָטן),,"(с)жарить,"
,,אויסבראָך מ ־ן,,1. извержение (вулкана)
,,"אוי^ס׀בראַקיר׀ן (אוי^סבראַקירט)
",,забраковывать
,,"אויסברוך מ ־ן זען אויסבראָך
",,אוי^ס׀ברוקיר׀ן (אוי^סברוקירט)	(вы)мостить
,,אוי^סברייטערונג וו ־ען,,"расширение,"
,,"אוי^ס׀ברייטער׀ן (אוי^סגעברייטערט)
",,расширять (делать более обширным);
,,אוי^ס׀בריי׀ען (אוי^סגעברייט),,"1. объяснять,"
,,וועלן אויסברייען,,"вести (речь), клонить,"
,,וואָס וויל ער אויסברייעןЯ,,к чему он
,,אוי^ס׀בריִ׀ען (אוי^סגעבריט),,"1. высиживать,"
,,l אויסבריִען זיך,,"вылупливаться (из яйца),"
,,אוי^ס׀ברעכ׀ן (אוי^סגעבראָכן),,1. (внезапно)
,,"אוי^ס׀ברענג׀ען (אוי^סגעברענגט,
",,"אוי^סגעבראַכט)	1. расходовать,"
,,l אויסברענגען זיך,,потратить слишком
,,אוי^סברענגער מ ־ס (וו ־קע),,"расточитель,"
,,אוי^סברענגעריש א,,расточительный
,,אוי^ס׀ברענ׀ען (אוי^סגעברענט),,"1. сгорать,"
,,אויסגאָב מ,,сдача (при покупке)
,,אוי^סגאַבע וו ־ס,,1. издание (печатное)
,,אוי^סגאַנגלאָז(יק) א,,"безвыходный,"
,,אוי^סגאַנגפּונקט מ ־ן,,"исходный пункт,"
,,"אוי^ס׀גאָרסעווע׀ן (אוי^סגעגאָרסעוועט)
",,זען גאָרסעווען
,,"אויסגוס מ ־ן זען אויסגאָס
",,אוי^ס׀גיי׀ן* (איז אוי^סגעגאַנגען)
,,אויסגיין פאַר/פון,,"умирать от..., с..."
,,אויסגיין פון הונגער,,умирать с голоду
,,מ'קאָן אויסגיין פאַר לאַנגווייל,,можно
,,אויסגיין נאָך,,"1) сильно желать чего-л.,"
,,ער גייט אויס נאָך אַ טרונק,,он томится
,,l אויסגיין צו,,иметь отрицательные
,,דאָס וועט אויסגיין צו געלט,,это отразится
,,אוי^ס׀גיס׀ן (אוי^סגעגאָסן),,1. выливать
,,אויסגיסן דעם כּעס [קאס] אויף,,вылить гнев
,,אויסגיסן דאָס בי^טערע האַרץ,,излить
,,l אויסגיסן זיך,,1) выливаться
,,"אוי^ס׀גלאָצ׀ן (אוי^סגעגלאָצט):
",,אויסגלאָצן די אויגן	таращить/пучить/
,,אויסגליטש מ ־ן,,"промах, ошибка"
,,"אוי^ס׀גליטש׀ן זיך (אוי^סגעגליטשט זיך)
",,1. поскользнуться
,,אויסגלייך מ ־ן,,"(мировая) сделка,"
,,"אוי^ס׀גלייכ׀ן (אוי^סגעגלייכט, אוי^סגעגליכן)
",,"1. выравнивать; выпрямлять,"
,,l אויסגלייכן זיך,,выравниваться;
,,אוי^ס׀גליִ׀ען (אוי^סגעגליט),,"выкаливать,"
,,אוי^ס׀גלעט׀ן (אוי^סגעגלעט),,"гладить,"
,,"אוי^סגעאַרבעט א (פּארט. פון אויסאַרבעטן)
",,"выработанный; выделанный,"
,,אוי^סגעבויג_ן א,,выгнутый; изогнутый
,,"אוי^סגעבונדן 2. אדוו.:
",,"קענ׀ען אויסגעבונדן	знать кого-л., как"
,,קענ׀ען (ווי) אויסגעבונדן,,знать что-л.
,,"אוי^סגעבלאָז_ן א (פּארט. פון אויסבלאָזן)
",,выдутый
,,ניט ווערט קיין אויסגעבלאָזן איי,,яйца
,,אוי^סגעבלייזט א,,"обнажённый, оголённый;"
,,אוי^סגעבלייכט א,,"бледный, побледнелый"
,,אוי^ס׀געב׀ן (אוי^סגעגעבן),,"1. расходовать,"
,,l אויסגעבן זיך,,"выдаваться, случаться,"
,,"ס'האָט זיך אויסגעגעבן אַ זו^ניקער טאָג
",,выдался солнечный день
,,l אויסגעבן זיך פאַר,,выдавать себя
,,"אוי^סגעבענקט א (פּארט. פון אויסבענקען)
",,"желанный, выстраданный"
,,"אוי^סגעגאַנגען א (פּארט. פון אויסגיין)
",,1. истекший (о сроке)
,,"אויסגעגאַנגענער פּאַספּאָ^רט
",,просроченный паспорт
,,"אוי^סגעגאָס_ן א (פּארט. פון אויסגיסן):
",,"זיין*/ליגן (דאט., אויף) ווי אויסגעגאָסן"
,,"אוי^סגעדאַכט א (פּארט. פון אויסדאַכטן)
",,воображаемый
,,אוי^סגעדאַרט א,,"высохший, исхудалый"
,,אוי^סגעדייווערט א,,"измождённый,"
,,אוי^סגעדינט א,,"1. (обычно о солдате,"
,,"אוי^סגעדראָש_ן א (פּארט. פון אויסדרעשן)
",,"избитый, затасканный, банальный"
,,"אוי^סגעהאַלטן א (פּארט. פון אויסהאַלטן)
",,"стройный, логичный, последовательный"
,,אוי^סגעהאַלטנקייט וו,,"стройность,"
,,"אוי^סגעהאָרעוועט א
",,(פּארט. פון אויסהאָרעווען)	истомлённый/
,,אוי^סגעווייקט א,,1. вымоченный;
,,l אויסגעווייקט אין,,перен. (о человеке)
,,אוי^סגעוועפּט א,,"1. выдохшийся,"
,,"אוי^סגעזוכט א (פּארט. פון אויסזוכן)
",,изысканный
,,אוי^סגעטאָן א (אוי^סגעטאָנענ׀ער),,раздетый;
,,"אוי^סגעטיילט א (פּארט. פון אויסטיילן)
",,"видный, заметный"
,,"אוי^סגעטראָג_ן א (פּארט. פון אויסטראָגן)
",,изношенный
,,"אוי^סגעטראָט_ן א (פּארט. פון אויסטרעטן)
",,"1. истоптанный, потрёпанный"
,,אוי^סגעטראַכט א,,"выдуманный,"
,,"אוי^סגעטריקנט ווער׀ן (איז אויסגעטריקנט
",,געוואָרן)	1) (об источнике и т. п.)
,,אוי^סגעכאָליעט א,,"сытый, холёный"
,,"אוי^סגעלאָזט, אוי^סגעלאָז_ן א
",,(פּארט. פון אויסלאָזן) זען אויסגעלאַסן
,,"אוי^סגעלאַס_ן א, אדוו.",,"распущенный,"
,,אוי^סגעלאַסנקייט וו,,распущенность;
,,"אוי^סגעלאָשן ווער׀ן (איז אוי^סגעלאָשן
",,געוואָרן)	гаснуть; угасать
,,"אוי^סגעלונקען א (פּארט. פון אויסלינקען)
",,вывихнутый; растянутый (о связках)
,,אוי^סגעמאָגערט א,,"исхудалый,"
,,אוי^סגעמאַטערט א,,1. (очень) усталый;
,,"אוי^סגעמאַכט א (פּארט. פון אויסמאַכן)
",,"1. безусловный, ясный, несомненный"
,,אוי^סגעמוטשעט א,,измученный
,,"אוי^סגעמיש מ, ז ־ן",,"смесь, смешение"
,,אוי^סגעמישט א,,"1. смешанный,"
,,"אוי^סגענומען א, אדוו. (פּארט. פון אויסנעמען)
",,исключительный; исключительно
,,אוי^סגענייט א,,вышитый
,,"אוי^סגעפּאַשעט א (פּארט. פון אויספּאַשען)
",,"откормленный, упитанный"
,,אוי^סגעפּוישט א,,раздутый; вздутый
,,אוי^סגעפּוצט א,,1. разодетый
,,"אויסגעפּוצט אין עסיק און אין האָניק
",,разодет в пух; одет с иголочки;
,,אוי^סגעפאָרצט א,,шутл. (о зубах)
,,"אוי^סגעפיינט א (פּארט. פון אויספיינען זיך)
",,"1. утончённый, изысканный"
