Base,Romanized,Yiddish,Gloss,Definition
,,"אוי^סגעלאַס_ן א, אדוו.",,"распущенный,"
,,אוי^סגעלאַסנקייט וו,,распущенность;
,,געוואָרן),,гаснуть; угасать
,,אוי^סגעמאָגערט א,,"исхудалый,"
,,אוי^סגעמאַטערט א,,1. (очень) усталый;
,,אוי^סגעמוטשעט א,,измученный
,,"אוי^סגעמיש מ, ז ־ן",,"смесь, смешение"
,,אוי^סגעמישט א,,"1. смешанный,"
,,אוי^סגענייט א,,вышитый
,,אוי^סגעפּוישט א,,раздутый; вздутый
,,אוי^סגעפּוצט א,,1. разодетый
,,אוי^סגעפאָרצט א,,шутл. (о зубах)
,,(פּארט. פון אויסצייכענען),,"отличный,"
,,אויסגעקאָכט מיט,,хорошо знакомый
,,אויסגעקאָכט אין,,"сведущий в чём-л.,"
,,אוי^סגעקינדלט א,,разрешившаяся
,,אוי^סגעקלערט א,,вымышленный
,,אוי^סגעקעכלט א,,"выхоленный, холёный"
,,אוי^סגעקרימט א,,кривой; перекошенный;
,,אוי^סגערוט א (פּארט. פון אויסרוען),,(хорошо)
,,געוואָרן),,"1. вытекать, вытечь"
,,אויסגערייכערטע ליולקע,,прокуренная/
,,(פּארט. פון אויסרעכענען),,1. рассчитанный;
,,אוי^סגערעכנטקייט וו,,расчётливость
,,אוי^סגעשטאָרב_ן א,,вымерший
,,אוי^סגעשטעלט א,,1. выставленный;
,,l אויסגעשטעלט אויף,,обречённый
,,אוי^סגעשטערנט א,,"звёздный, усеянный"
,,אוי^סגעשטשערבעט א,,"зазубренный,"
,,אוי^סגעשפּילט א,,1. разыгранный
,,"אוי^סגעשפּראָכ_ן א, אדוו.",,"видимый, явный,"
,,אַן אויסגעשריבענע האַנט,,беглый/
,,"אוי^סגעשריי מ, ז ־ען",,"возглас, выкрик;"
,,אוי^סגראָבונג וו ־ען,,1. выкапывание
,,אוי^ס׀גראַבל׀ען (אוי^סגעגראַבלט),,выгребать
,,(דאט.),,"казаться, чудиться"
,,(אוי^סגעדאַמפט),,1. испарять
,,l אויסדאַמפּן זיך,,испаряться
,,אוי^סדויער מ,,"выдержка, выносливость"
,,אויסדינגען אק. ביי,,отбивать что-л.
,,אויסדינגען זיך,,"сторговаться,"
,,אוי^סדערוויילט א,,избранный
,,אוי^ס׀דערווייל׀ן (אוי^סדערוויילט),,выбирать;
,,אויסדרוק מ ־ן,,выражение
,,קומ׀ען צום אויסדרוק,,"выражаться,"
,,אויסדריי מ ־ען,,1. поворот; изгиб
,,l אויסדרייען זיך,,1) поворачиваться;
,,אוי^ס׀דרינג׀ען (אוי^סגעדרונגען),,"выводить,"
,,אוי^סדריקלעך 1. א,,1. определённо
,,אוי^סדריקלעך 2. אדוו.,,"1. определённо,"
,,אוי^ס׀דריק׀ן (אוי^סגעדריקט),,1. выражать;
,,אויסהאַלט מ,,"1. выносливость, стойкость"
,,אוי^סהאַלטונג וו,,"иждивение, содержание"
,,ס'איז ניט אויסצוהאַלטן פון אים,,от него
,,אויסהאַלטן דעם עקזאַמען,,выдержать
,,אויסהאַלטן זיך מיט,,"жить, кормиться"
,,אוי^סהאַלטעוודיק א,,"прочный, крепкий,"
,,אוי^סהאַלטער מ ־ס,,кормилец
,,אוי^ס׀האַק׀ן (אוי^סגעהאַקט),,1. выбивать
,,אוי^ס׀האַר׀ן (אוי^סגעהאַרט),,выжидать
,,אויסהאָרעווען זיך,,"истомляться,"
,,אוי^ס׀הויכ׀ן (אוי^סגעהויכט),,выдыхать
,,אויסהויכן די נשמה [נעשאָמע],,испустить
,,אוי^ס׀היט׀ן (אוי^סגעהיט),,"уберегать,"
,,אוי^ס׀הייב׀ן (אוי^סגעהויבן),,поднимать
,,אוי^ס׀הייל׀ן (אוי^סגעהיילט),,"вылечивать,"
,,אויסהיילן זיך,,"вылечиваться,"
,,אוי^סהיילעוודיק א,,излечимый
,,אוי^ס׀הייצ׀ן (אוי^סגעהייצט),,(основательно)
,,אוי^סגעהאָנגען),,1. вывешивать
,,אויסהערן דאָס האַרץ,,выслушать сердце
,,(אויסגעהרגעט [אוי^סגעהארגעט]),,убивать
,,אויסוואַל מ ־ן,,выбор
,,אוי^סוואַנדערונג וו ־ען,,1. эмиграция
,,אויסוואַרעמען זיך,,выводиться
,,אויסוואָרף מ ־ן,,"выродок, подонок;"
,,אויסוואַרפן קאָרטן,,гадать на картах
,,אויסוואַרפן דאט. אק.,,"корить, попрекать"
,,אוי^ס׀וואַש׀ן (אוי^סגעוואַשן),,(вы)мыть;
,,אויסוווּקס מ ־ן,,"отросток, вырост"
,,אוי^ס׀ווייז׀ן זיך (אוי^סגעוויזן זיך),,"казаться,"
,,ווייזט אויס,,"по-видимому, (оче)видно,"
,,l אויסווייזן זיך אומפּ.,,"тж. оказываться,"
,,אוי^ס׀ווייכ׀ן (אוי^סגעווייכט),,"сторониться,"
,,אוי^ס׀ווייל׀ן (אוי^סגעוויילט),,"выбирать,"
,,אוי^ס׀וויינ׀ען (אוי^סגעוויינט),,выплакивать
,,אויסוויינען (זיך) די אויגן,,выплакать/
,,אויסוויינען זיך,,выплакиваться
,,אוי^ס׀ווייס׀ן (אוי^סגעווייסט),,выбеливать
,,אוי^ס׀ווייק׀ן (אוי^סגעווייקט),,вымачивать
,,אויסוויקלען זיך,,1) распутываться
,,אוי^ס׀ווירק׀ן (אוי^סגעווירקט),,"добиваться,"
,,אוי^ס׀וויש׀ן (אוי^סגעווישט),,вытирать
,,אוי^ס׀וועב׀ן (אוי^סגעוועבט),,"(вы)ткать,"
,,אויסוועג מ ־ן,,выход (из затруднения)
,,אויסוועפּן זיך,,тж. выдыхаться
,,אוי^ס׀זאָג׀ן (אוי^סגעזאָגט),,"разглашать,"
,,אוי^ס׀זאַלצ׀ן (אוי^סגעזאַלצט),,высаливать
,,אויסזאַץ מ ־ן,,сыпь
,,אוי^ס׀זויג׀ן (אוי^סגעזויגן),,высасывать
,,אויסזויגן פון אַרבל/פינגער,,высосать
,,אוי^ס׀זוכ׀ן (אוי^סגעזוכט),,"разыскивать,"
,,אוי^ס׀זידל׀ען (אוי^סגעזידלט),,"выругать,"
,,ער וועט אויסזיין די גאַנצע שטאָט,,он
,,אויסזיין ביי אַלע באַקאַנטע,,побывать у
,,אויסזיין די צייט,,тж. неожиданно уйти/
,,אויסזיכט מ ־ן,,"обыкн. во мн. ч. вид,"
,,אוי^ס׀זינג׀ען (אוי^סגעזונגען),,"спеть,"
,,אוי^ס׀זיצ׀ן (איז אוי^סגעזעסן),,"высиживать,"
,,אוי^ס׀זעג׀ן (אוי^סגעזעגט),,выпиливать
,,אויסזען 1. מ,,"внешность, наружность,"
,,אוי^ס׀זע׀ן* 2. (אוי^סגעזען),,1. выглядеть
,,ער זעט אויס (צו זיין) אוי^פגערעגט,,у него
,,ווי עס זעט אויס,,как видно
,,אוי^ס׀זעצ׀ן (אוי^סגעזעצט),,"1. сажать,"
,,l אויסזעצן זיך,,"садиться, усаживаться"
,,אוי^ס׀זשליאָקע׀ן (אוי^סגעזשליאָקעט),,разг.
,,אויסטאָן זיך,,раздеваться
,,אויסטאָן זיך פון,,"отстраняться,"
,,אוי^ס׀טאַנצ׀ן (אוי^סגעטאַנצט),,"станцевать,"
,,אויסטויש מ ־ן,,"1. обмен, мена"
,,אוי^ס׀טויש׀ן (אוי^סגעטוישט),,"1. менять,"
,,אויסטוישן זיך (מיט),,обмениваться чем-л.
,,אוי^סטייטשונג וו ־ען,,"(ис)толкование,"
,,אוי^ס׀טייטש׀ן (אוי^סגעטייטשט),,"толковать,"
,,אוי^סטיילונג וו ־ען,,"разделение,"
,,אוי^ס׀טייל׀ן (אוי^סגעטיילט),,"1. разделять,"
,,l אויסטיילן זיך (מיט),,"выделяться,"
,,אוי^ס׀טיליק׀ן (אוי^סגעטיליקט),,истреблять
,,אוי^ס׀טעכער׀ן (אוי^סגעטעכערט),,разрезать
,,אוי^ס׀טעסע׀ן (אוי^סגעטעסעט),,вытёсывать
,,אויסטער מ ־ס,,устрица
,,אוי^סטערליש 1. א,,"1. необыкновенный,"
,,אוי^סטערליש 2. אדוו.,,"удивительно,"
,,אַן אויסטערליש שיין מיידל,,удивительно/
,,הריווניעס,,на его долю приходится сорок
,,הריווניעס,,на каждого пришлось
,,אויסטראַליע [лье] אג''נ וו,,Австралия
,,אויסטראַליער [лье] מ = (וו ־ין),,австралиец
,,אויסטראַליש א,,австралийский
,,אוי^ס׀טריפ׀ן (אוי^סגעטריפט),,вытекать (по
,,אוי^ס׀טריקענ׀ען (אוי^סגעטריקנט),,"сушить,"
,,אויסטריקענען זיך,,"высыхать, просыхать,"
,,אויסטרעטן אַ סטעזשקע,,протоптать
,,אוי^ס׀טרענ׀ען (אוי^סגעטרענט),,отпарывать
,,אוי^ס׀יעט׀ן (אוי^סגעיעט),,выпалывать
,,אוי^ס׀כאָווע׀ן (אוי^סגעכאָוועט),,"растить,"
,,אוי^סכאַפּעניש ז (אויף),,большой спрос
,,אויסלאָג מ ־ן,,"вложение (денег), вклад"
,,אוי^ס׀לאָד׀ן (אוי^סגעלאָדן),,"1. выгружать,"
,,אוי^ס׀לאָווע׀ן (אוי^סגעלאָוועט),,вылавливать
,,אוי^ס׀לאָז׀ן (אוי^סגעלאָזט),,"1. кончать,"
,,l אויסלאָזן צו,,"вымещать, срывать,"
,,צו די קינדער,,выместить всю злость
,,l אויסלאָזן זיך,,"1) кончаться,"
,,l אויסלאָזן זיך אומפּ. אַז,,оказываться
,,אַווע^קגעפאָרן,,"оказывается, они уже"
,,וואָס לאָזט זיך אויסЯ,,что же получаетсяЯ
,,l אויסלאָזן זיך מיט,,"кончаться,"
,,l אויסלאָזן זיך צו,,иметь отрицательные
,,אויסלאָזן זיך צו פּאָס. קע^שענע,,ударить/
,,און צו מיר לאָזט זיך עס אויס,,а я должен
,,אוי^ס׀לאַטע׀ן (אוי^סגעלאַטעט),,"(по)чинить,"
,,אוי^ס׀לאַכ׀ן (אוי^סגעלאַכט),,"высмеивать,"
,,אויסלאַכן זיך,,(вдоволь) насмеяться
,,אויסלאַכן זיך (פון),,"смеяться над...,"
,,אויסלאַנד ז,,заграница
,,אין אויסלאַנד,,"за границей, за рубежом"
,,קיין אויסלאַנד,,"за границу, за рубеж"
,,פון אויסלאַנד,,"из-за границы,"
,,אוי^ס׀לויפ׀ן (איז אוי^סגעלאָפן),,1. обегать
,,אויסלויפן די גאַנצע שטאָט,,обежать весь
,,אויסלונק מ ־ען,,вывих
,,אוי^ס׀לופּע׀ן (אוי^סגעלופּעט),,вылупливать
,,די גריפּע דאַרף מען אויסליגן,,больной
,,l אויסליגן זיך,,вылёживаться
,,אויסלייג מ ־ן,,"написание; правописание,"
,,אוי^ס׀לייג׀ן (אוי^סגעלייגט),,1. вносить
,,אוי^ס׀לייד׀ן (אוי^סגעליטן),,выстрадать;
,,אוי^סלייזגעלט ז,,выкуп (деньги)
,,אוי^סלייזונג וו ־ען,,1. выкуп (действие)
,,אוי^ס׀לייז׀ן (אוי^סגעלייזט),,1. выкупать
,,אוי^סלייזער מ ־ס,,"1. тот, кто выкупает,"
,,(דאט.),,"ссужать кого-л., одалживать,"
,,אוי^ס׀לייענ׀ען (אוי^סגעלייענט),,(про)читать
,,אוי^ס׀לינק׀ען (אוי^סגעלונקען),,вывихивать
,,אוי^סליפערונג וו ־ען,,выдача
,,אוי^ס׀ליפער׀ן (אוי^סגעליפערט),,выдавать
,,אוי^ס׀לעב׀ן (אוי^סגעלעבט) אק.,,прожить
,,אויסלעבן די יאָרן,,прожить/отжить свой
,,ניט אויסלעבן די יאָרן,,умереть молодым
,,אויסלעבן זיך אין,,реализовать себя
,,אוי^סלענדיש א,,"иностранный,"
,,אוי^סלענדער מ = (וו ־ין),,иностранец
,,אוי^ס׀לעק׀ן (אוי^סגעלעקט),,1. вылизывать;
,,אוי^ס׀לערנ׀ען (אוי^סגעלערנט),,выучивать;
,,"l אויסלערנען אק., אינפ.",,"выучивать,"
,,"l אויסלערנען זיך אק., + אינפ.",,"выучиваться,"
,,אויסלערנען זיך ענגליש,,выучиться
